12 , 1379 , 2 , 2991 , 4372 , 2048 x 2048 , compute-662-4
12 , 1156228 , 2 , 2583 , 1158813 , 2048 x 2048 , critical
12 , 1421 , 2 , 2616 , 4039 , 2048 x 2048 , compute-662-4
12 , 1368854 , 18 , 2567 , 1371439 , 2048 x 2048 , critical
12 , 1388 , 1 , 2724 , 4113 , 2048 x 2048 , compute-662-4
12 , 1110244 , 1 , 2712 , 1112957 , 2048 x 2048 , critical
12 , 1396 , 2 , 2621 , 4019 , 2048 x 2048 , compute-662-4
12 , 1436242 , 18 , 2335 , 1438595 , 2048 x 2048 , critical
0 , 19695 , 2 , 60055 , 79752 , 4096 x 4096 , compute-662-4
0 , 19644 , 3 , 59779 , 79426 , 4096 x 4096 , compute-662-4
0 , 19693 , 3 , 60283 , 79979 , 4096 x 4096 , compute-662-4
0 , 24650 , 2 , 65384 , 90036 , 4096 x 4096 , compute-662-4
0 , 19665 , 2 , 59968 , 79635 , 4096 x 4096 , compute-662-4
2 , 13533 , 2 , 31010 , 44545 , 4096 x 4096 , compute-662-4
2 , 2530976 , 2 , 31043 , 2562021 , 4096 x 4096 , critical
2 , 13588 , 3 , 31147 , 44738 , 4096 x 4096 , compute-662-4
2 , 1090521 , 2 , 30639 , 1121162 , 4096 x 4096 , critical
2 , 13551 , 2 , 30675 , 44228 , 4096 x 4096 , compute-662-4
2 , 2006964 , 2 , 31317 , 2038283 , 4096 x 4096 , critical
2 , 13583 , 2 , 30856 , 44441 , 4096 x 4096 , compute-662-4
2 , 1453750 , 2 , 34109 , 1487862 , 4096 x 4096 , critical
2 , 13572 , 3 , 31126 , 44701 , 4096 x 4096 , compute-662-4
2 , 2244315 , 3 , 33376 , 2277694 , 4096 x 4096 , critical
4 , 7772 , 3 , 15812 , 23587 , 4096 x 4096 , compute-662-4
4 , 2771243 , 2 , 15894 , 2787139 , 4096 x 4096 , critical
4 , 8289 , 3 , 16452 , 24745 , 4096 x 4096 , compute-662-4
4 , 3110921 , 2 , 16498 , 3127421 , 4096 x 4096 , critical
4 , 8229 , 2 , 15550 , 23781 , 4096 x 4096 , compute-662-4
4 , 3063506 , 3 , 16767 , 3080276 , 4096 x 4096 , critical
4 , 8161 , 2 , 16132 , 24295 , 4096 x 4096 , compute-662-4
4 , 3515427 , 2 , 16298 , 3531727 , 4096 x 4096 , critical
4 , 8291 , 2 , 16340 , 24633 , 4096 x 4096 , compute-662-4
4 , 4406827 , 2 , 16785 , 4423614 , 4096 x 4096 , critical
6 , 6597 , 3 , 11287 , 17887 , 4096 x 4096 , compute-662-4
